bigram	frequency
dj producer	2
start playing	2
recording output	2
several sounds	2
full launch	2
beat mixer	2
cant wait	2
great use	2
really excited	2
online remix	2
just get	2
main page	2
awesome idea	2
please continue	2
exciting project	2
top right	2
really great	2
safari browser	2
sample based	2
pitch control	2
great content	2
chop samples	2
nearly impossible	2
works well	2
machines available	2
information tab	2
looks really	2
sample browsing	2
th notes	2
make beats	2
find something	2
intensity content	2
sounds work	2
sounds based	2
stopped working	2
different sound	2
sound packs	2
crate digging	2
almost impossible	2
just amazing	2
likely use	2
eye pleasing	2
full source	2
single remix	2
right away	2
really good	2
get back	2
even though	2
audio files	2
exploring citizen	2
fantastic project	2
king exercise	2
individual tracks	2
make hip	2
amazing thing	2
make sense	2
found sounds	2
really amazing	2
using samples	2
remix feature	2
minor bug	2
beat machine	2
making beats	2
ableton live	2
mobile phone	2
will make	2
browse function	2
something cool	2
work well	2
college professor	2
production tool	2
little difficult	2
available tracks	2
wonderful initiative	2
many different	2
pretty simple	2
explore view	2
audition sounds	2
raw files	2
produce music	2
never used	2
brilliant way	2
shared history	2
move around	2
school teacher	2
people will	2
specific samples	2
making music	2
mind blowing	2
amazing site	2
awesome project	2
mouse around	2
pretty amazing	2
even better	2
many sounds	2
will bring	2
audio snippet	2
sound search	2
tiny snippets	2
site tool	2
definitely need	2
amazing work	2
sound selection	2
sounds using	2
amazing thank	2
visual cues	2
redacted thanks	2
go live	2
also like	2
just curious	2
incredibly excited	2
mobile device	2
full site	2
sequencer page	2
golden age	2
arrow keys	2
keep working	2
sound design	2
list view	2
like audacity	2
entire source	2
hop producer	2
one point	2
drag around	2
one issue	2
finished product	2
just like	2
music clips	2
integrate multiple	2
social media	2
sound libraries	2
excellent work	2
give input	2
copyright free	2
free content	2
use sounds	2
much better	2
just use	2
looks cool	2
use longer	2
find samples	2
music archive	2
different collections	2
fantastic work	2
side column	2
work together	2
multiple clips	2
playing around	2
nice job	2
select sounds	2
definitely return	2
machine sequencer	2
response really	2
find certain	2
let us	2
copyright law	2
browsing sounds	2
came across	2
much information	2
music creation	2
also allow	2
wav format	2
remix tools	2
slightly longer	2
find specific	2
little cumbersome	2
right now	2
will also	2
fantastic idea	2
amazing way	2
learning curve	2
hobbyist musician	2
data visualization	2
fl studio	2
music sampling	2
super easy	2
pretty cool	2
sample clips	2
stumbled across	2
just play	2
buttons next	2
mobile friendly	2
awesome tool	2
create something	2
record function	2
using just	2
search box	2
tools like	2
like music	2
strange samples	2
dj tool	2
output error	2
artists musicians	2
absolutely love	2
selected sample	2
hear longer	2
bit slow	2
select different	2
browse sounds	2
software like	2
really just	2
interesting way	2
akai mpc	2
early stages	2
colors meant	2
nice work	2
