Id,Title,URL,Source,Creator,Year,Alt URL,Filename
,Africa,https://digitalcollections.nypl.org/items/19a7e380-d1fc-0134-9ca8-00505686a51c,nypl,Emil Schulthess,1959,,
,"Fig. CXXIIX. Haustrum sextuplex, per capsulas.",https://digitalcollections.nypl.org/items/5fe9a0b3-557a-68bb-e040-e00a180615c4,nypl,Georg Andreas Böckler,1662,,
,"Ma vision, ou Idées sur L'affranchissement des noirs",https://digitalcollections.nypl.org/items/fc85dab0-ae6b-0133-7df4-00505686d14e,nypl,Unknown,1789 - 1865,,
,Ruhhâm chases Bârmân.,https://digitalcollections.nypl.org/items/5e66b3e8-8969-d471-e040-e00a180654d7,nypl,Firdawsî,1616,,
,Harlem WPA Street Dance,https://digitalcollections.nypl.org/items/4a6c0440-2893-0132-4636-58d385a7bbd0,nypl,Elizabeth Olds,1935 - 1943,,
,"Scroll 3, scene 5",https://digitalcollections.nypl.org/items/9bf3f772-ae23-0baf-e040-e00a18066e50,nypl,Unknown,1650 - 1699,,
,Up a tree.,https://digitalcollections.nypl.org/items/510d47df-79b9-a3d9-e040-e00a18064a99,nypl,Porter & Coates,1872,,
,Tissus de raphia brodés. 1. Bashoba. 2-6. Bangongo.,https://digitalcollections.nypl.org/items/510d47e0-1610-a3d9-e040-e00a18064a99,nypl,Ministère des colonies : en vente chez Falk fils,1910,,
,Circus Sideshow (Parade de cirque),https://www.metmuseum.org/art/collection/search/437654,met,Georges Seurat,1887 - 1888,,
,Sunflowers,https://www.metmuseum.org/art/collection/search/436524,met,Vincent van Gogh,1887,,
,Serape,https://www.metmuseum.org/art/collection/search/823660,met,Unidentified,ca. 1840 - 1850,,
,Panel from a Rectangular Box,https://www.metmuseum.org/art/collection/search/446285,met,Unidentified,10th - early 11th century,,
,"The Round Tower, from ""Carceri d'invenzione"" (Imaginary Prisons)",https://www.metmuseum.org/art/collection/search/337725,met,Giovanni Battista Piranesi,ca. 1749 - 1750,,
,Ceiling painting from the palace of Amenhotep III,https://www.metmuseum.org/art/collection/search/544502,met,Unidentified,ca. 1390 - 1353 B.C.,,
,Ceremonial Banner (Palepai Maju),https://www.metmuseum.org/art/collection/search/316457,met,Unidentified,18th century,,
,Border Fragment,https://www.metmuseum.org/art/collection/search/316945,met,Unidentified,450 - 175 B.C.,,
,Ceiling,https://www.metmuseum.org/art/collection/search/451373,met,Unidentified,16th century,,
,Chasuble (one of a set of five vestments),https://www.metmuseum.org/art/collection/search/229859,met,Unidentified,18th century,,
,Panel with striding lion,https://www.metmuseum.org/art/collection/search/322585,met,Unidentified,ca. 604 - 562 B.C.,,
,Basin,https://www.metmuseum.org/art/collection/search/674,met,Master Potter A,ca. 1650,,
,Panel with Peonies and Butterfly,https://www.metmuseum.org/art/collection/search/39735,met,Unidentified,late 14th - 15th century,,
,Northeaster,https://www.metmuseum.org/art/collection/search/11130,met,Winslow Homer,1895,,
,Stela of the Steward Mentuwoser,https://www.metmuseum.org/art/collection/search/544320,met,Unidentified,ca. 1944 B.C.,,
,The Holy Family with Saints Anne and Joachim,https://www.metmuseum.org/art/collection/search/199674,met,Diego de Pesquera,1567 - 1568,,
,Ocean Life,https://www.metmuseum.org/art/collection/search/12544,met,James M. Sommerville,1859,,
,Relief with Enthroned Ruler,https://www.metmuseum.org/art/collection/search/313240,met,Chakalte' ,early 770s,,
,Three Dancers Preparing for Class,https://www.metmuseum.org/art/collection/search/436163,met,Edgar Degas,after 1878,,
,"""The Concourse of the Birds"", Folio 11r from a Mantiq al-tair (Language of the Birds)",https://www.metmuseum.org/art/collection/search/451725,met,Habiballah of Sava,ca. 1600,,
,Welcoming Spring,https://www.metmuseum.org/art/collection/search/39730,met,Unidentified,15th century,,
,Textile Fragment,https://www.metmuseum.org/art/collection/search/451102,met,Unidentified,mid-16th century,,
,Mihrab (Prayer Niche),https://www.metmuseum.org/art/collection/search/449537,met,Unidentified,1354 - 1355,,
,"The Kangxi Emperor's Southern Inspection Tour, Scroll Three: Ji'nan to Mount Tai",https://www.metmuseum.org/art/collection/search/49156,met,Wang Hui,1698,,
,Sunset on the Sea,https://www.metmuseum.org/art/collection/search/11325,met,John Frederick Kensett,1872,,
,"Quilt (or decorative throw), Crazy pattern",https://www.metmuseum.org/art/collection/search/13907,met,Tamar Horton Harris North,ca. 1877,,
,Plaque: Warrior and Attendants,https://www.metmuseum.org/art/collection/search/316393,met,Unidentified,16th - 17th century,,
,Tughra (Insignia) of Sultan Süleiman the Magnificent (r. 1520–66),https://www.metmuseum.org/art/collection/search/449534,met,Unidentified,ca. 1555 - 1560,,
,Altar to the Hand of Ezomo Ehenua (Ikegobo),https://www.metmuseum.org/art/collection/search/317781,met,Unidentified,18th - 19th century,,
,A New Record Comparing the Handwriting of the Courtesans of the Yoshiwara,https://www.metmuseum.org/art/collection/search/78670,met,Kitao Masanobu,1784,,
,Male adult goat,https://www.metmuseum.org/art/collection/search/204217,met,Unidentified,second half 18th century,,
,Textile Fragment,https://www.metmuseum.org/art/collection/search/444011,met,Unidentified,6th - 7th century,,
,Roundel,https://www.metmuseum.org/art/collection/search/447860,met,Unidentified,6th - 7th century,,
,Angel of the Annunciation,https://www.metmuseum.org/art/collection/search/469947,met,Unidentified,ca. 1290–1300,,
,Tunic Fragment,https://www.metmuseum.org/art/collection/search/312615,met,Unidentified,7th–9th century,,
,"Pectoral with bovine head crowned with disk, horns and feathers",https://www.metmuseum.org/art/collection/search/547798,met,Unidentified,ca. 664–200 B.C.,,
,Miniature Dress,https://www.metmuseum.org/art/collection/search/312849,met,Unidentified,12th–13th century,,
,Tunic,https://www.metmuseum.org/art/collection/search/315050,met,Unidentified,700–850,,
,Woman's Mantle,https://www.metmuseum.org/art/collection/search/319585,met,Unidentified,late 18th century,,
,"""Battle Scene"", Folio from a Zafarnama (Book of Victories) of Sharaf al-Din 'Ali Yazdi",https://www.metmuseum.org/art/collection/search/450512,met,Sharaf al-din 'Ali Yazdi,1485–86,,
,Face of Half a Double Saddlebag (Khorjin),https://www.metmuseum.org/art/collection/search/681632,met,Unidentified,ca. 1875,,
,The Harbor,https://www.metmuseum.org/art/collection/search/488108,met,Josef Presser,ca. 1943,,
,Still Life,https://www.metmuseum.org/art/collection/search/488147,met,Ben Benn,1941,,
,The Street Pavers,https://www.metmuseum.org/art/collection/search/485555,met,Umberto Boccioni,1914,,
,Summer Day,https://www.metmuseum.org/art/collection/search/488143,met,Richard Sussman,ca. 1939,,
,Landscape,https://www.metmuseum.org/art/collection/search/459968,met,Auguste Renoir,1889,,
,Pines Along the Shore,https://www.metmuseum.org/art/collection/search/459095,met,Henri-Edmond Cross,1896,,
,Dish (coppa),https://www.metmuseum.org/art/collection/search/460193,met,Guido Durantino,ca. 1525,,
,Cuneiform tablet: caravan account,https://www.metmuseum.org/art/collection/search/325851,met,Unidentified,ca. 20th–19th century B.C.,,
,Pouch,https://www.metmuseum.org/art/collection/search/168386,met,Unidentified,1830–60,,
,Headdress,https://www.metmuseum.org/art/collection/search/157558,met,Unidentified,19th century,,
,Stela of Saiah,https://www.metmuseum.org/art/collection/search/550806,met,Unidentified,ca. 825–712 B.C.,,
,Scarab Commemorating the King's Marriage to Queen Tiye,https://www.metmuseum.org/art/collection/search/548625,met,Unidentified,ca. 1390–1352 B.C.,,
,Case (Inrō) with Design of Young Pines Growing beside Gnarled Pine Trees,https://www.metmuseum.org/art/collection/search/58696,met,Unidentified,19th century,,
,The Advent of a Demon; Scene from a Performance in an old Kabuki Theatre,https://www.metmuseum.org/art/collection/search/55240,met,Unidentified,1615–1868,,
,"""The Execution of the Brahmins"", Folio from a Kalila wa Dimna",https://www.metmuseum.org/art/collection/search/453153,met,Unidentified,second quarter 16th century,,
,Krishna Battles the Armies of the Demon Naraka: Page from a Bhagavata Purana Manuscript,https://www.metmuseum.org/art/collection/search/37849,met,Unidentified,ca. 1540,,
,"""The Spy Zambur Brings Mahiya to the City of Tawariq"", Folio from a Hamzanama (Book of Hamza)",https://www.metmuseum.org/art/collection/search/447743,met,Kesav Das,ca. 1570,,
,"The Wrathful Protector Mahakala, Tantric Protective Form of Avalokiteshvara",https://www.metmuseum.org/art/collection/search/37808,met,Unidentified,early 18th century,,
,"Vaishravana, Guardian of Buddhism and Protector of Riches",https://www.metmuseum.org/art/collection/search/854908,met,Unidentified,early 15th century,,
,Eagle Relief,https://www.metmuseum.org/art/collection/search/307599,met,Unidentified,10th–13th century,,
,Tray (Batea) with Turnus Provoked into War by Aeneas,https://www.metmuseum.org/art/collection/search/841656,met,José Manuel de la Cerda,ca. 1764,,
,Design for a cornice.,https://www.metmuseum.org/art/collection/search/365553,met,Anonymous,1700–1780,,
,Young Woman Knitting,https://www.metmuseum.org/art/collection/search/437159,met,Berthe Morisot,ca. 1883,,
,Actinologia britannica. Plate VI (Illustration),https://www.biodiversitylibrary.org/page/12042264,biodiversity,Philip Henry Gosse,1860,https://www.flickr.com/photos/biodivlibrary/6850396970/,
,Actinologia britannica. Plate III (Illustration),https://www.biodiversitylibrary.org/page/12042158,biodiversity,Philip Henry Gosse,1860,https://www.flickr.com/photos/biodivlibrary/6996520299/,
,Actinologia britannica. Plate IV (Illustration),https://www.biodiversitylibrary.org/page/12042246,biodiversity,Philip Henry Gosse,1860,https://www.flickr.com/photos/biodivlibrary/6996521027/,
,Actinologia britannica. Plate II (Illustration),https://www.biodiversitylibrary.org/page/12042092,biodiversity,Philip Henry Gosse,1860,https://www.flickr.com/photos/biodivlibrary/6850394706/,
,Actinologia britannica. Plate VIII (Illustration),https://www.biodiversitylibrary.org/page/12042300,biodiversity,Philip Henry Gosse,1860,https://www.flickr.com/photos/biodivlibrary/6996523293/,
,Actinologia britannica. Plate VII (Illustration),https://www.biodiversitylibrary.org/page/12042290,biodiversity,Philip Henry Gosse,1860,https://www.flickr.com/photos/biodivlibrary/6996522605/,
,Nouvel atlas de poche des champignons comestibles et vénéneux. Pl. 53 (Illustration),https://www.biodiversitylibrary.org/page/3895019,biodiversity,Paul Dumée,1911 - 1912,https://www.flickr.com/photos/biodivlibrary/6459647535/,
,"Southern wild flowers and trees, together with shrubs, vines and various forms of growth found through the mountains, the middle district and the low country of the South. Plate CXIX (Illustration)",https://www.biodiversitylibrary.org/page/23630169,biodiversity,Alice Lounsberry,1901,https://www.flickr.com/photos/biodivlibrary/8427214388/,
,"The illustration horticole : an illustrated monthly review of new and interesting plants with their descriptions, history and culture. PL. 193 (Illustration)",https://www.biodiversitylibrary.org/page/15484196,biodiversity,Jean Jules Linden,1854 - 1896,https://www.flickr.com/photos/biodivlibrary/8404620189/,
,"Farquhar's bulbs 1902. Cover, Illustration",https://www.biodiversitylibrary.org/page/42229865,biodiversity,R. & J. Farquhar Company,1902,https://www.flickr.com/photos/biodivlibrary/15766025934/,
,Kunstformen der Natur. Tafel 74 (Illustration),https://www.biodiversitylibrary.org/page/33543600,biodiversity,Ernst Haeckel,1904,https://www.flickr.com/photos/biodivlibrary/6197846292/,
,Comprehensive catalogue of Queensland plants. Plate IV (Illustration),https://www.biodiversitylibrary.org/page/39928429,biodiversity,Frederick Manson Bailey,1909,https://www.flickr.com/photos/biodivlibrary/51280178052/,
,Comprehensive catalogue of Queensland plants. Plate XV (Illustration),https://www.biodiversitylibrary.org/page/39928887,biodiversity,Frederick Manson Bailey,1909,https://www.flickr.com/photos/biodivlibrary/51280240277/,
,Flore des serres et des jardins de l'Europe. Illustration,https://www.biodiversitylibrary.org/page/27803982,biodiversity,Louis Van Houtte,1845 - 1880,https://www.flickr.com/photos/biodivlibrary/9509950064/,
,"The natural history of Carolina, Florida, and the Bahama Islands",https://www.biodiversitylibrary.org/page/13414315,biodiversity,Mark Catesby,1754,https://www.flickr.com/photos/biodivlibrary/26262659193/,
,L'Illustration horticole. Pl. DXXXIX (Illustration),https://www.biodiversitylibrary.org/page/15848455,biodiversity,Charles Antoine Lemaire,1854 - 1896,https://www.flickr.com/photos/biodivlibrary/7787894234/,
,L'Illustration horticole. Pl. DXXXVII (Illustration),https://www.biodiversitylibrary.org/page/15848440,biodiversity,Charles Antoine Lemaire,1854 - 1896,https://www.flickr.com/photos/biodivlibrary/7787892904/,
,The floral magazine,https://www.biodiversitylibrary.org/page/50241074,biodiversity,Henry Honywood Dombrain,1870,https://www.flickr.com/photos/biodivlibrary/28714655420/,
,The world of the sea. PL. VII (Illustration),https://www.biodiversitylibrary.org/page/13387228,biodiversity,Alfred Moquin-Tandon,1869,https://www.flickr.com/photos/biodivlibrary/51235710867/,
,The world of the sea. PL. IX (Illustration),https://www.biodiversitylibrary.org/page/13387277,biodiversity,Alfred Moquin-Tandon,1869,https://www.flickr.com/photos/biodivlibrary/51235711262/,
,"Ocean gardens, Plate X (Illustration)",https://www.biodiversitylibrary.org/page/43084587,biodiversity,Henry Noel Humphreys,1857,https://www.flickr.com/photos/biodivlibrary/50703401421/,
,"Ocean gardens, Plate IX (Illustration)",https://www.biodiversitylibrary.org/page/43084555,biodiversity,Henry Noel Humphreys,1857,https://www.flickr.com/photos/biodivlibrary/50702664523/,
,"Ocean gardens, Plate III (Illustration)",https://www.biodiversitylibrary.org/page/43084482,biodiversity,Henry Noel Humphreys,1857,https://www.flickr.com/photos/biodivlibrary/50702663233/,
,"Ocean gardens, Plate VII (Illustration)",https://www.biodiversitylibrary.org/page/43084492,biodiversity,Henry Noel Humphreys,1857,https://www.flickr.com/photos/biodivlibrary/50703487027/,
,Oceanic birds of South America. v.1. Illustration,https://www.biodiversitylibrary.org/page/12471950,biodiversity,Robert Cushman Murphy,1936,https://www.flickr.com/photos/biodivlibrary/6288902227/,
,Wild life of the world. v.2. Plate (Illustration),https://www.biodiversitylibrary.org/page/21738971,biodiversity,Richard Lydekker,1916,https://www.flickr.com/photos/biodivlibrary/6263677184/,
,Reise der österreichischen Fregatte Novara. Illustration,https://www.biodiversitylibrary.org/page/49408967,biodiversity,Bernhard Wüllerstorf-Urbair,1861,https://www.flickr.com/photos/biodivlibrary/49830501823/,
,Ornithological miscellany V.3. Illustration,https://www.biodiversitylibrary.org/page/35041408,biodiversity,George Dawson Rowley,1876 - 1878,https://www.flickr.com/photos/biodivlibrary/5982101116/,
,Kunstformen der Natur. Tafel 79 (Illustration),https://www.biodiversitylibrary.org/page/33543622,biodiversity,Ernst Haeckel,1904,https://www.flickr.com/photos/biodivlibrary/6197330677/,
,Kunstformen der Natur. Tafel 96 (Illustration),https://www.biodiversitylibrary.org/page/33543710,biodiversity,Ernst Haeckel,1904,https://www.flickr.com/photos/biodivlibrary/6197854336/,
,Kunstformen der Natur. Tafel 98 (Illustration),https://www.biodiversitylibrary.org/page/33543720,biodiversity,Ernst Haeckel,1904,https://www.flickr.com/photos/biodivlibrary/6197854762/,
,Kunstformen der Natur. Tafel 89 (Illustration),https://www.biodiversitylibrary.org/page/33543674,biodiversity,Ernst Haeckel,1904,https://www.flickr.com/photos/biodivlibrary/6197333121/,
,Kunstformen der Natur. Tafel 85 (Illustration),https://www.biodiversitylibrary.org/page/33543656,biodiversity,Ernst Haeckel,1904,https://www.flickr.com/photos/biodivlibrary/6197332431/,
,Kunstformen der Natur. Tafel 72 (Illustration),https://www.biodiversitylibrary.org/page/33543590,biodiversity,Ernst Haeckel,1904,https://www.flickr.com/photos/biodivlibrary/6197326347/,
,Kunstformen der Natur. Tafel 49 (Illustration),https://www.biodiversitylibrary.org/page/33543470,biodiversity,Ernst Haeckel,1904,https://www.flickr.com/photos/biodivlibrary/6197840800/,
,Fishes of the world,https://www.biodiversitylibrary.org/page/5937049,biodiversity,Edouard Le Danois,1957,https://www.flickr.com/photos/biodivlibrary/5843271403/,
,"Natural history of the animal kingdom for the use of young people. Plate VII (Foldout, Illustration)",https://www.biodiversitylibrary.org/page/28687188,biodiversity,William Forsell Kirby,1889,https://www.flickr.com/photos/biodivlibrary/5860461193/,
,Illustriertes Prachtwerk sämtlicher Tauben-rassen. Tafel 58 (Illustration),https://www.biodiversitylibrary.org/page/34042099,biodiversity,Emil Schachtzabel,1906,https://www.flickr.com/photos/biodivlibrary/6005224610/,
,Birds through the year. Illustration,https://www.biodiversitylibrary.org/page/8469492,biodiversity,Winifred Austen,1922,https://www.flickr.com/photos/biodivlibrary/6026041284/,
,Illustrations of the natural orders of plants with groups and descriptions. Pl. 8 (Illustration),https://www.biodiversitylibrary.org/page/32430196,biodiversity,Elizabeth Twining,1868,https://www.flickr.com/photos/biodivlibrary/6059027690/,
,Our living world. v.1. Full Page Illustration (Illustration),https://www.biodiversitylibrary.org/page/33500475,biodiversity,John George Wood,1885,https://www.flickr.com/photos/biodivlibrary/6076443957/,
,British mammals. Plate (Illustration),https://www.biodiversitylibrary.org/page/9409305,biodiversity,Harry Hamilton Johnston,1903,https://www.flickr.com/photos/biodivlibrary/6358180131/,
,British mammals. Plate (Illustration),https://www.biodiversitylibrary.org/page/9409335,biodiversity,Harry Hamilton Johnston,1903,https://www.flickr.com/photos/biodivlibrary/6358181711/,
,"The natural history of Carolina, Florida, and the Bahama Islands. Pl. 61 (Illustration)",https://www.biodiversitylibrary.org/page/38993541,biodiversity,Mark Catesby,1771,https://www.flickr.com/photos/biodivlibrary/6829782218/,
,The florist and garden miscellany. Plate [4] (Illustration),https://www.biodiversitylibrary.org/page/6044163,biodiversity,Chapman and Hall,1850 - 1851,https://www.flickr.com/photos/biodivlibrary/7447369630/,
,Historia lapidum figuratorum Helvetiae. Tab. 28 (Illustration),https://www.biodiversitylibrary.org/page/54391041,biodiversity,Giovanni Ambrogio Besozzi,1708,https://www.flickr.com/photos/biodivlibrary/51072728278/,
,Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt . Tab. III (Illustration),https://www.biodiversitylibrary.org/page/56975861,biodiversity,Kašpar Šternberg,1820 - 1838,https://www.flickr.com/photos/biodivlibrary/51223059004/,
,"A history of British fossil reptiles. Pl. 35 (Illustration, Text)",https://www.biodiversitylibrary.org/page/31985744,biodiversity,Richard Owen,1849 - 1884,https://www.flickr.com/photos/biodivlibrary/21923563160/,
