id,originalRecordingTitle,originalEventTitle,contributors,date,subjects
20100512_ca_014mv_pl_cda_bc,"Handycam 20100512201709 Bonsoir Catin performing live @ Café Des Amis: Madam Eteinne, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_015mv_pl_cda_bc,"Handycam 20100512202216 Bonsoir Catin performing live @ Café Des Amis: The Amadee Two Step, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_017mv_pl_cda_bc,"Handycam 20100512203217 Bonsoir Catin performing live @ Café Des Amis: Alberta, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_022mv_pl_cda_bc,"Handycam 20100512210222 Bonsoir Catin performing live @ Café Des Amis: Ruben, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_024mv_pl_cda_bc,"Handycam 20100512211308 Bonsoir Catin performing live @ Café Des Amis: Bosco Stomp, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_001sr_pl_cda_bc,Tascam DR000158 Bonsoir Catin performing Seventy Three (public domain) live at Café Des Amis,"5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_002sr_pl_cda_bc,Tascam DR000159 Bonsoir Catin performing Longue Pointe (public domain) live at Café Des Amis,"5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_007sr_pl_cda_bc,"Tascam DR000164 Bonsoir Catin performing live @ Café Des Amis: Chicken Coupe, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_008sr_pl_cda_bc,"Tascam DR000165 Bonsoir Catin performing live @ Café Des Amis: Popcorn, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_010sr_pl_cda_bc,"Tascam DR000167 Bonsoir Catin performing live @ Café Des Amis: Mamma Rosan, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_012sr_pl_cda_bc,"Tascam DR000169 Bonsoir Catin performing live @ Café Des Amis: Moulin, traditional tune (public domain) all members singing","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_013sr_pl_cda_bc,"Tascam DR000170 Bonsoir Catin performing live @ Café Des Amis: Creole Stomp, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_014sr_pl_cda_bc,"Tascam DR000171 Bonsoir Catin performing live @ Café Des Amis: Madam Eteinne, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_015sr_pl_cda_bc,"Tascam DR000172 Bonsoir Catin performing live @ Café Des Amis: The Amadee Two Step, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_017sr_pl_cda_bc,"Tascam DR000174 Bonsoir Catin performing live @ Café Des Amis: Alberta, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_022sr_pl_cda_bc,"Tascam DR000179 Bonsoir Catin performing live @ Café Des Amis: Ruben, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_024sr_pl_cda_bc,"Tascam DR000181 Bonsoir Catin performing live @ Café Des Amis: Bosco Stomp, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100519_ca_004sr_pl_wb_kj,"Tascam DR000237 Kelli Jones in Double Date: Old Buzzard - traditional song, (public domain)",5-19-10 (2) KELLI JONES @ WHIRLYBIRD w/ “DOUBLE DATE”,,2010-05-19,
20100519_ca_008sr_pl_wb_kj,"Tascam DR000241 Kelli Jones in Double Date: Medley: Rattlesnake Bit The Babay and Shortnin' Bread - traditional tunes (public domain) clog dancing by Kelli Jones and Emma Leahy-Good, fiddles: Joel Savoy and Linzay Young",5-19-10 (2) KELLI JONES @ WHIRLYBIRD w/ “DOUBLE DATE”,,2010-05-19,
20100519_ca_004mv_pl_wb_kj,"Handycam 20100519194323 Kelli Jones in Double Date: Old Buzzard - traditional song, (public domain)",5-19-10 (2) KELLI JONES @ WHIRLYBIRD w/ “DOUBLE DATE”,,2010-05-19,
20100519_ca_008mv_pl_wb_kj,"Handycam 20100519195936 Kelli Jones in Double Date: Medley: Rattlesnake Bit The Babay and Shortnin' Bread - traditional tunes (public domain) clog dancing by Kelli Jones and Emma Leahy-Good, fiddles: Joel Savoy and Linzay Young",5-19-10 (2) KELLI JONES @ WHIRLYBIRD w/ “DOUBLE DATE”,,2010-05-19,
20100519_ca_008sr_pl_wb_ms,Tascam DR000249 The Magnolia Sisters performing: Creole Stomp traditional - public domain,5-19-10 (3) MAGNOLIA SISTERS @ WHIRLYBIRD,,2010-05-19,
20100519_ca_008mv_pl_wb_ms,Handycam 20100519205006 The Magnolia Sisters performing: Creole Stomp traditional - public domain,5-19-10 (3) MAGNOLIA SISTERS @ WHIRLYBIRD,,2010-05-19,
20100519_ca_001sr_pl_wb_bc,Tascam DR000252 Bonsoir Catin performing: 73 traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100519_ca_003sr_pl_wb_bc,Tascam DR000254 Bonsoir Catin performing: Longue Pointe 2 Step traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100519_ca_005sr_pl_wb_bc,Tascam DR000256Bonsoir Catin performing: Alberta traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100519_ca_006sr_pl_wb_bc,Tascam DR000257 Bonsoir Catin performing: Ruben's Train traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100519_ca_008sr_pl_wb_bc,Tascam DR000259 Bonsoir Catin performing: Bosco Stomp traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100519_ca_001mv_pl_wb_bc,Handycam 20100519211845 Bonsoir Catin performing: 73 traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100519_ca_003mv_pl_wb_bc,Handycam 20100519212941 Bonsoir Catin performing: Longue Pointe 2 Step traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100519_ca_005mv_pl_wb_bc,Handycam 20100519213748 Bonsoir Catin performing: Alberta traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100519_ca_006mv_pl_wb_bc,Handycam 20100519214135 Bonsoir Catin performing: Ruben's Train traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100519_ca_008mv_pl_wb_bc,Handycam 20100519215148 Bonsoir Catin performing: Bosco Stomp traditional - public domain,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",,2010-05-19,
20100522_ca_002mv_rr_sc,Handycam 20100522200435 Sheryl Cormier and Cajun Sounds performing at Randol's Restaurant: Jolie Fille - traditional tune - public domain,Handycam 20100522195126 Corrrupt file will not copy to back up,,2010-05-22,
20100522_ca_003mv_rr_sc,Handycam 20100522200906Sheryl Cormier and Cajun Sounds performing at Randol's Restaurant: Big Mamou - traditional tune - public domain,Handycam 20100522195126 Corrrupt file will not copy to back up,,2010-05-22,
20100522_ca_007mv_rr_sc,Handycam 20100522205205 Sheryl Cormier and Cajun Sounds performing at Randol's Restaurant:Bosco Stomp public domain - traditional tune (youtube version 1 in Ricks drive),Handycam 20100522195126 Corrrupt file will not copy to back up,,2010-05-22,
20100531_bg_004sr_pl_dd_ll,Tascam DR000290 You Get A Line I'll Get A Pole traditional - public domain,Tascam DR000287 bad file no data,,2010-05-31,
20100531_bg_006sr_pl_dd_ll,Tascam DR000292 Whitehouse Blues traditional public domain (used Clip for Youtube),Tascam DR000287 bad file no data,,2010-05-31,
20100531_bg_004sr_pl_dd_hb,"Tascam DR000301 The Heartland Band perfroming @ Dennis Days, song: Paradise Traditional ? Public domain",5-31-10 (2) THE HEARTLAND BAND @ DENNIS DAYS,,2010-05-31,
20100531_bg_007sr_pl_dd_hb,"Tascam DR000304 The Heartland Band perfroming @ Dennis Days, song: Play Dixie For Me Traditional - public domain (1) clipped for YouTube",5-31-10 (2) THE HEARTLAND BAND @ DENNIS DAYS,,2010-05-31,
20100531_bg_009sr_pl_dd_hb,"Tascam DR000306 The Heartland Band perfroming @ Dennis Days, song: Amazing Grace (shortened version - not full song) Public Domain",5-31-10 (2) THE HEARTLAND BAND @ DENNIS DAYS,,2010-05-31,
20100807_ma_002sr_pl_plc_jl,"Tascam DR000403 Handycam 20100807150309 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, 2 Songs: Home To Mingolay and Westering Sea - traditional Public Domain",8-7-10 JULIA LANE,,2010-08-07,
20100807_ma_005sr_pl_plc_jl,"Tascam DR000406 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: The Three Sea Captainas Traditional Public Domain",8-7-10 JULIA LANE,,2010-08-07,
20100807_ma_014sr_pl_plc_jl,"Tascam DR000415 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: Our Gallant Ship, Traditional, Public Domain",8-7-10 JULIA LANE,,2010-08-07,
20100807_ma_015sr_pl_plc_jl,"Tascam DR000416 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: The Mermaid, Traditional, Public Domain",8-7-10 JULIA LANE,,2010-08-07,
20100807_ma_020sr_pl_plc_jl,"Tascam DR000421 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: I's The B'ys, Traditinal Public Domain",8-7-10 JULIA LANE,,2010-08-07,
20100807_ma_021sr_pl_plc_jl,"Tascam DR000422 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: The Ballad Of Captain Tucker, Traditional Public Domain",8-7-10 JULIA LANE,,2010-08-07,
20100807_ma_022sr_pl_plc_jl,"Tascam DR000423 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: Mary's Dream, Traditional, Public Domain",8-7-10 JULIA LANE,,2010-08-07,
20100807_ma_021mv_pl__plc_jl,"Handycam 20100807165044 Julia Lane (w/ Fred Gosbee) @ Pamaquid Lighthouse Learning Center, Song: The Ballad Of Captain Tucker, Traditional Public Domain, corresponding video #422",8-7-10 JULIA LANE,,2010-08-07,
20100808_ma_003sr_pl_sm_dn,"Tascam DR00437 Daisy Nell performing traditional song (public domain) ""Brother Noah Built The Arc"" with husband Captain Stan and other players during session at Sail Power and Steam Museum, Rockland, ME","8-8-10 DAISY NELL (AND CAPTAIN STAN) @ SAIL POWER AND STEAM MUSEUM, ROCKLAND,ME",,2010-08-08,
20100808_ma_005sr_pl_sm_dn,"Tascam DR00440 Daisy Nell performing traditional song (public domain) ""The Sky Boat Song"" with husband Captain Stan and other players (listed on release forms) during session at Sail Power and Steam Museum, Rockland, ME","8-8-10 DAISY NELL (AND CAPTAIN STAN) @ SAIL POWER AND STEAM MUSEUM, ROCKLAND,ME",,2010-08-08,
20100808_ma_009sr_pl_sm_dn,"Tascam DR00447 Captain Jim Sharp performing traditional song (public domain) with husband Daisy Nell, Captain Stan and other players (listed on release forms) during session at Sail Power and Steam Museum, Rockland, ME","8-8-10 DAISY NELL (AND CAPTAIN STAN) @ SAIL POWER AND STEAM MUSEUM, ROCKLAND,ME",,2010-08-08,
20100808_ma_010sr_pl_sm_dn,"Tascam DR00448 Daisy Nell performing traditional song (public domain) ""God Moves In A Wind Storm"" with husband Captain Stan and other players (listed on release forms) during session at Sail Power and Steam Museum, Rockland, ME","8-8-10 DAISY NELL (AND CAPTAIN STAN) @ SAIL POWER AND STEAM MUSEUM, ROCKLAND,ME",,2010-08-08,
20100808_ma_005mv_pl_sm_dn,"Handycam 20100808150005 Daisy Nell performing traditional song (public domain) ""The Sky Boat Song"" with husband Captain Stan and other players (listed on release forms) during session at Sail Power and Steam Museum, Rockland, ME","8-8-10 DAISY NELL (AND CAPTAIN STAN) @ SAIL POWER AND STEAM MUSEUM, ROCKLAND,ME",,2010-08-08,
20100917_bg_002mv_pl_brrr_kf,Handycam 20100917180605 Boss Hawg at the Machavelli Stage @ BRRR live performance. Song: John Henry traditional - Public Domain,9-17-10 (4) Kim France with Boss Hawg @ BRRR,,2010-09-17,
20100917_bg_008mv_pl_brrr_kf,Handycam 20100917183733 Boss Hawg at the Machavelli Stage @ BRRR live performance. Song: Wild Bill Jones - Traditional - Public Domain,9-17-10 (4) Kim France with Boss Hawg @ BRRR,,2010-09-17,
20100917_bg_004mv_pl_brrr_ms,Handycam 20100917222547 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Cotton Eyed Joe Traditional - Public Domain,9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),,2010-09-17,
20100917_bg_006mv_pl_brrr_ms,"Handycam 20100917223616 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Bile Them Cabbage Down, Traditional - Public Domain",9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),,2010-09-17,
20100917_bg_010mv_pl_brrr_ms,"Handycam 20100917225432 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Faded Love, Traditional Public Domain",9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),,2010-09-17,
20100917_bg_011mv_pl_brrr_ms,"Handycam 20100917225903 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: That's The Way You Feel, Traditional - Public Domain, featuring little Faith on vocals.",9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),,2010-09-17,
20100917_bg_012mv_pl_brrr_ms,"Handycam 20100917230439 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Sally Ann, Traditional - Public Domain",9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),,2010-09-17,
20100917_bg_014mv_pl_brrr_ms,"Handycam 20100917231403 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Keep The Skillet Good And Greasy, Traditional - Public Domain",9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),,2010-09-17,
20100917_bg_015mv_pl_brrr_ms,"Handycam 20100917231727 Martha and Emily Spencer with The Whitetop Mountain Band on the VA Folklife Stage @ BRRR. Song: Lost Indian, Traditional - Public Domain, Martha Spencer and then Debbie Bramer featured on flat foot dancing.",9-17-10 (6) Martha Spencer and Emily Spencer (Martha’s mother) and Debbie Bramer with The Whitetop Mountain Band @ BRRR 9-17-10 (6),,2010-09-17,
20100918_am_010mv_pl_brrr_ag,"Handycam 20100918183941 Red Molly perform on the Main Stage @ BRRR. Song: Darling Corey, Traditional, Public Domain",9-18-10 (3) Abbie Gardner live performance at The Main Stage with Red Molly @ BRRR,,2010-09-18,
20100919_bg_002mv_pl_brrr_kf,"Handycam 20100919164830 Kim France with Lost Ridge Band at BRRR. Song: Temperence Reel, Traditional, Public Domain",9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,,2010-09-19,
20100919_bg_004mv_pl_brrr_kf,"Handycam 20100919165839 Kim France with Lost Ridge Band at BRRR. Song: I'll Fly Away, Traditional, Public Domain",9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,,2010-09-19,
20100919_bg_007mv_pl_brrr_kf,"Handycam 20100919171130 Kim France with Lost Ridge Band at BRRR. Song: Little Maggie, Traditional, Public Domain",9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,,2010-09-19,
20100919_bg_008mv_pl_brrr_kf,"Handycam 20100919171553 Kim France with Lost Ridge Band at BRRR. Song: Bill Cheatham Traditional, Public Domain",9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,,2010-09-19,
20100919_bg_009mv_pl_brrr_kf,"Handycam 20100919171944 Kim France with Lost Ridge Band at BRRR. Song: Salt Creek, Traditional, Public Domain",9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,,2010-09-19,
20100919_bg_011mv_pl_brrr_kf,"Handycam 20100919173141 Kim France with Lost Ridge Band at BRRR. Song: John Henry, Traditional, Public Domain",9-19-10 (3) KIM FRANCE with THE LOST RIDGE BAND @ BRRR,,2010-09-19,
20100925_bg_001sr_pl_ge_nw,Tascam DR000671 Red June live CD Release Party performance at The Grey Eagle. Song: I'm Willing To Try. Traditional Public Domain,"9-25-10 (2) NATALYA WEINSTEIN with RED JUNE for CD RELEASE PARTY @ THE GREY EAGLE, ASHEVILLE, NC",,2010-09-25,
20100925_bg_003sr_pl_ge_nw,"Tascam DR000673 Red June live CD Release Party performance at The Grey Eagle. Song: Half Past Four, Traditional Public Domain","9-25-10 (2) NATALYA WEINSTEIN with RED JUNE for CD RELEASE PARTY @ THE GREY EAGLE, ASHEVILLE, NC",,2010-09-25,
20100925_bg_001mv_pl_ge_nw,"Handycam 20100925203714 Red June live CD Release Party performance at The Grey Eagle. 2 Songs : I'm Willing To Try. Traditional Public Domain and Run Boy Run, by Will Straughan","9-25-10 (2) NATALYA WEINSTEIN with RED JUNE for CD RELEASE PARTY @ THE GREY EAGLE, ASHEVILLE, NC",,2010-09-25,
20100925_bg_003mv_pl_ge_nw,"Handycam 20100925204313 Red June live CD Release Party performance at The Grey Eagle. Song: Half Past Four, Traditional Public Domain","9-25-10 (2) NATALYA WEINSTEIN with RED JUNE for CD RELEASE PARTY @ THE GREY EAGLE, ASHEVILLE, NC",,2010-09-25,
20100929_ot_001mv_pl_ej_mt,"Handycam 20100929194858 Live Performance @ ""Estrojam"" Session with women listed above. Song: Whiskey Before Breakfast, Traditional, Public Domain","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",,2010-09-29,
20100929_ot_002mv_pl_ej_mt,"Handycam 20100929195217 Live Performance @ ""Estrojam"" Session with women listed above. Song: Needle Case, Traditional, Public Domain","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",,2010-09-29,
20100929_ot_004mv_pl_mt,"Handycam 20100929200154 Live Performance @ ""Estrojam"" Session with women listed above. Song: Liberty, Traditional, Public Domain","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",,2010-09-29,
20100929_ot_005mv_pl_mt,"Handycam 20100929200525 Live Performance @ ""Estrojam"" Session with women listed above. Song: Don't This Road Look Rough And Rocky, Traditional, Public Domain","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",,2010-09-29,
20100929_ot_007mv_pl_mt,"Handycam 20100929201628 Live Performance @ ""Estrojam"" Session with women listed above. Song:Martha Campbell, Traditional, Public Domain","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",,2010-09-29,
20100929_ot_009mv_pl_mt,"Handycam 20100929202651 Live Performance @ ""Estrojam"" Session with women listed above. Song: Green Icey Mountain , Traditional, Public Domain","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",,2010-09-29,
